prod_id,prod_name,prod_stock,prod_image,prod_saleprice,prod_price,prod_sku,prod_cat
45832,Seed  -  Californian Poppy Single 500 Pk,instock,seed-californian-poppy-single-mixed-seecalpsi-160x160.jpg,$2.07,$2.95,SEECALPSI,"product_cat-new-year-specials,product_cat-flower-seeds"
48650,Aloe Andreas Orange Tm,instock,Aloe-Andreas-orange16-160x160.jpg,$11.83,$16.90,PLAALOAOR,"product_cat-new-year-specials,product_cat-aloes"
135225,Hollyhock Spring Celebrities Collection,instock,hollyhock-spring-celebrities-col-18-colholcol-160x160.jpg,$13.80,$27.60,COLHOLCOL,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-plant-specials,product_cat-perennials"
206596,Planting Tablets,instock,Planting_tablets-160x160.jpg,$8.40,$12.00,ACCMANPTN,"product_cat-new-year-specials,product_cat-page-28-31-protea-family,product_cat-page-43-45-hard-goods,product_cat-page-49-50-hardgoods,product_cat-page-60-61-hardgoods,product_cat-fertilisers-soil-conditioners"
226215,Clivia Orange 14,instock,Clivia_Orange_14-160x160.jpg,$4.50,$9.00,PPLCLISOR,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-page-43-45-shade-lovers,product_cat-page-52-53-shade-lovers,product_cat-clivia"
236457,Crazy Calla Lily Hot Chocolate Pbr,instock,Calla_Hot_Choc_Field2-160x160.jpg,$9.00,$15.00,PKCCAHCH,"product_cat-new-year-specials,product_cat-special-offer-flyer-not-quite-crazy-callas,product_cat-calla-lilies"
254810,Felco 904 Sharpening Tool,instock,FELCO-904-ACCFEL904-150x160.jpg,$43.40,$62.00,ACCFEL904,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
256939,Felco Replacement Blade 9/3,instock,felco-9-3-2017-ACCFEL9-3-160x160.jpg,$14.35,$20.50,ACCFEL9/3,"product_cat-new-year-specials,product_cat-felco"
256974,Felco 621/3 - Pull Saw Blade 24Cm,instock,felco-621-3-160x160.jpg,$21.00,$30.00,ACCFEL621/3,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
257084,Felco 7/90 Repair Set - Bolt + Nut,instock,felco-7-90-160x160.jpg,$10.50,$15.00,ACCFEL7/90,"product_cat-new-year-specials,product_cat-felco"
261458,Felco 2 Pruner And 903 Sharpener Combo Pack,instock,felco-2-pruner-and-903-sharpener-combo-pack-accfelc290-160x1.jpg,$107.80,$154.00,ACCFELC290,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-43-45-hard-goods,product_cat-page-60-61-hardgoods,product_cat-page-60-61-tools-and-accessories,product_cat-felco-pruners"
265870,Water Tube Accwtupgu 2018,instock,Water-Tube-ACCWTUPGU-2018-160x160.jpg,$9.73,$13.90,ACCWTUPGU,"product_cat-new-year-specials,product_cat-page-42-watering,product_cat-page-60-61-tools-and-accessories,product_cat-plant-protection"
269403,Fluorescent Garden Gloves Pink,instock,Fluorescent-Garden-Gloves-Pink-150x160.jpg,$10.85,$15.50,ACCFGGPLG,"product_cat-new-year-specials,product_cat-garden-gear"
277203,Felco 4 Pruner And 910 Holster Combo Pack,instock,felco-4-pruner-and-910-holster-combo-pack-accfelc491-160x160.jpg,$80.50,$115.00,ACCFELC491,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-32-33-hard-goods,product_cat-page-43-45-hard-goods,product_cat-felco-pruners"
308885,Echeveria Norma,instock,echeveria-norma-pplechnor-160x160.jpg,$6.00,$12.00,PPLECHNOR,"product_cat-new-year-specials,product_cat-page-17-succulents,product_cat-succulents"
309058,Sunflower Rio Carnival,instock,sunflower-rio-carnival-pplsflrca-160x160.jpg,$3.20,$6.40,PPLSFLRCA,"product_cat-new-year-specials,product_cat-page-22-23-garden-colour,product_cat-annuals"
309107,Acacia Lime Magik,instock,acacia-lime-magik-lpoacalma-2018-160x160.jpg,$4.95,$9.90,LPOACALMA,"product_cat-new-year-specials,product_cat-page-28-30-natives,product_cat-whats-new,product_cat-native-shrubs"
311080,Nesting Box Kit  -  Ringtail Possum,instock,nest-box-ringtail-possum-kit-18-160x160.jpg,$51.80,$74.00,ACCNESKRP,"product_cat-new-year-specials,product_cat-online-offers"
42487,Felco 903  -  Diamond Sharpener,instock,FELCO_%20903_Sharpener-160x159.jpg,$30.10,$43.00,ACCFEL903,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
42575,Hamilton Treeplanter (Square 50X50X125),instock,Hamilton_Planter_square_14-160x160.jpg,$77.00,$110.00,ACCHAMTRE,"product_cat-new-year-specials,product_cat-garden-accessories"
45826,Seed Tape  -  Beetroot Boltardy,instock,seed-tape-beetroot-boltardy-seebeebot-160x160.jpg,$3.43,$4.90,SEEBEEBOT,"product_cat-new-year-specials,product_cat-salad-vegetable-seeds"
95142,Bluebell Creeper 15 Fm 14225160Pa,instock,Bluebell_Creeper_15_FM_14225160PA-160x160.jpg,$2.95,$5.90,LPOBLUCRE,"product_cat-new-year-specials,product_cat-page-28-30-natives,product_cat-climbing-plants"
135063,Gazania Big Kiss Red 15 Highsun,instock,Gazania_Big_Kiss_Red_15_HIGHSUN-160x160.jpg,$4.90,$5.40,LPOGAZBKR,"product_cat-new-year-specials,product_cat-page-32-35-flowering-shrubs,product_cat-plant-specials,product_cat-daisies"
179928,Sole-Mate Door Mat  -  Bring Jim,instock,23-9179-Bring-Jim.jpg,$17.43,$24.90,ACCMAT9179,"product_cat-new-year-specials,product_cat-sole-mate-door-mats"
197919,Pig Face Pale Pink,instock,Pigface-Pale-Pink-16-160x160.jpg,$2.45,$4.90,LPOPFAPPI,"product_cat-exclusively-online,product_cat-new-year-specials,product_cat-page-39-grasses-drought-tolerant,product_cat-pigface"
207569,Gloriosa Lily,instock,gloriosa-lily-pkglolil-160x160.jpg,$9.48,$15.80,PKGLOLIL,"product_cat-new-year-specials,product_cat-page-20-21-summer-flowering,product_cat-bulbs-summer-flowering"
223810,Felco 5/3  -  Blade For Felco 5 + Felco 160L,instock,felco-5-3-ACCFEL5-3-160x160.jpg,$18.34,$26.20,ACCFEL5/3,"product_cat-new-year-specials,product_cat-felco-spare-parts-accessories"
233961,Sprouts Alive Mixed Salad,instock,Sprouts-Alive-Mixed-Salad-160x160.jpg,$3.43,$4.90,SEESALMSA,"product_cat-new-year-specials,product_cat-sprouts-microgreens"
250225,Atlantis Grow Wall Slim Line,instock,Gro-Wall-Slim-Line-Facade-2-160x160.jpg,$90.30,$129.00,ACCGWSLLI,"product_cat-email-specials,product_cat-new-year-specials,product_cat-garden-accessories,product_cat-atlantis-wall-garden-vertical-garden,product_cat-hanging-baskets-troughs-planters"
261459,Felco 4 Pruner And 903 Sharpener Combo Pack,instock,felco-4-pruner-and-903-sharpener-combo-pack-accfelc490-160x1.jpg,$83.30,$119.00,ACCFELC490,"product_cat-accessory-specials,product_cat-new-year-specials,product_cat-page-43-45-hard-goods,product_cat-page-60-61-hardgoods,product_cat-page-60-61-tools-and-accessories,product_cat-felco-pruners"
265852,Sole-Mate Door Mat  -  Michelin Man 45X75Cm,instock,Michelin-Man-ACCMAT8248-160x160.jpg,$17.43,$24.90,ACCMAT8248,"product_cat-new-year-specials,product_cat-sole-mate-door-mats"
286009,Agapanthus Madison  (Pbr),instock,Agapanthus-Madison-PPLAGAMAD-160x160.jpg,$4.65,$9.30,PPLAGAMAD,"product_cat-new-year-specials,product_cat-page-33-agapanthus,product_cat-plant-specials,product_cat-whats-new,product_cat-agapanthus"
